# replica x Q2 F2nu FLnu xF3nu F2nub FLnub xF3nub
33 1.000000e-02 1.000000e+02 2.737542e+00 5.271373e-01 -5.667426e-01 2.120539e+00 1.421630e+00 6.138472e-01
34 1.000000e-02 4.000000e+00 1.489125e+00 -7.222301e-02 5.290216e-02 1.334128e+00 2.219515e-01 3.100157e-02
34 1.000000e-02 1.000000e+02 2.671619e+00 -7.248745e-01 4.825227e-01 2.073278e+00 1.286804e-01 -7.873654e-01
35 1.000000e-02 4.000000e+00 1.427169e+00 9.039732e-01 6.626822e-01 1.788111e+00 5.343162e-01 4.397969e-01
35 1.000000e-02 1.000000e+02 2.058460e+00 3.373216e-01 1.181163e+00 1.998823e+00 2.590231e-01 7.469484e-01
36 1.000000e-02 4.000000e+00 1.541572e+00 -7.098765e-01 -7.077835e-01 1.770345e+00 -1.634666e-01 1.096424e+00
36 1.000000e-02 1.000000e+02 1.780336e+00 -8.966739e-01 -4.834332e-01 2.579429e+00 -2.347730e-01 1.318004e+00
37 1.000000e-02 4.000000e+00 1.557520e+00 5.351580e-01 3.939483e-01 1.650150e+00 5.234060e-01 3.725466e-01
37 1.000000e-02 1.000000e+02 2.519868e+00 -6.691076e-01 -1.893384e-01 1.528810e+00 -2.017959e+00 1.913021e-01
38 1.000000e-02 4.000000e+00 1.303606e+00 4.673004e-05 -2.304468e-02 1.429641e+00 6.383052e-01 -5.384696e-02
38 1.000000e-02 1.000000e+02 1.442955e+00 -3.054571e-01 1.299291e-01 1.770114e+00 4.827150e-01 -2.267146e-02
39 1.000000e-02 4.000000e+00 1.415141e+00 2.278683e-01 4.604704e-01 1.783393e+00 4.085126e-01 2.796533e-01
39 1.000000e-02 1.000000e+02 2.808118e-01 -2.630521e+00 9.423846e-02 2.621964e-01 -2.993660e+00 1.880539e+00
40 1.000000e-02 4.000000e+00 1.557734e+00 2.288926e-01 -6.141350e-02 1.519996e+00 6.710668e-01 -1.403756e-01
40 1.000000e-02 1.000000e+02 1.697475e+00 -1.986685e-01 2.138343e-01 1.345280e+00 -5.930811e-01 -2.446218e-01
41 1.000000e-02 4.000000e+00 1.496673e+00 1.730278e+00 1.942668e-01 2.068612e+00 1.412535e-02 2.434187e-01
41 1.000000e-02 1.000000e+02 1.871073e+00 -5.339848e+00 7.295856e-01 2.561790e+00 5.781374e-01 1.785092e-01
42 1.000000e-02 4.000000e+00 1.339938e+00 4.470878e-01 -9.139383e-02 1.759740e+00 1.352403e-01 6.916910e-02
42 1.000000e-02 1.000000e+02 1.445252e+00 1.640837e-01 -3.491893e-01 1.962760e+00 1.620600e-01 -8.901619e-01
43 1.000000e-02 4.000000e+00 1.801914e+00 5.654725e-01 1.169685e-01 2.047196e+00 1.365643e+00 3.382719e-01
43 1.000000e-02 1.000000e+02 2.227389e+00 -1.474907e-01 1.156127e-01 2.178404e+00 2.248256e-01 -7.718730e-02
44 1.000000e-02 4.000000e+00 1.481824e+00 1.094833e+01 4.767838e-01 1.938520e+00 4.906555e-01 1.616864e-01
44 1.000000e-02 1.000000e+02 2.392124e+00 -3.005114e+00 -4.630017e-01 3.090558e+00 5.586406e-01 1.020649e+00
45 1.000000e-02 4.000000e+00 1.682333e+00 1.196107e+00 8.157802e-02 1.473590e+00 6.304071e-01 2.443841e-01
45 1.000000e-02 1.000000e+02 1.921205e+00 1.316674e+00 9.935296e-02 1.729995e+00 4.719585e-01 1.854897e-03
46 1.000000e-02 4.000000e+00 1.096909e+00 -5.249414e-01 4.990696e-01 1.125507e+00 2.180289e-01 -5.993629e-02
46 1.000000e-02 1.000000e+02 2.272057e+00 6.827950e-01 9.169859e-01 1.747409e+00 6.359013e-01 4.958391e-02
47 1.000000e-02 4.000000e+00 1.471909e+00 9.416652e-02 -8.488178e-03 1.716302e+00 3.821790e-01 1.689944e-01
47 1.000000e-02 1.000000e+02 1.498585e+00 1.358091e-01 -2.789009e-01 2.247148e+00 8.698463e-03 1.994905e-01
