# x Q2 F2_free_p F3_free_p
1.000000000000000036e-10 1.995262314968880730e+02 5.259216165357496493e+02 1.777464901989354004e+12
1.000000000000000036e-10 2.511886431509582280e+02 5.772211868004341113e+02 1.951803453826529541e+12
1.000000000000000036e-10 3.162277660168379612e+02 6.285060644840518762e+02 2.126033471693017822e+12
1.000000000000000036e-10 3.981071705534973262e+02 6.861316374202566521e+02 2.322293367785851562e+12
1.000000000000000036e-10 5.011872336272724624e+02 7.440893510643564923e+02 2.519659885441586426e+12
1.000000000000000036e-10 6.309573444801936830e+02 8.050627898109507896e+02 2.727069177827295898e+12
1.000000000000000036e-10 7.943282347242821970e+02 8.698604801392289119e+02 2.947235912730126953e+12
1.000000000000000036e-10 1.000000000000000000e+03 9.346472409724088948e+02 3.167321440171037598e+12
1.000000000000000036e-10 1.258925411794168667e+03 1.006352412796007457e+03 3.410817544835682129e+12
1.000000000000000036e-10 1.584893192461114040e+03 1.078048959751108669e+03 3.654249489837324707e+12
1.000000000000000036e-10 1.995262314968878854e+03 1.152820610093177720e+03 3.908074903955673340e+12
1.000000000000000036e-10 2.511886431509582053e+03 1.231395473237456372e+03 4.174767365157797852e+12
1.000000000000000036e-10 3.162277660168379498e+03 1.309964137675365009e+03 4.441413668820200195e+12
1.000000000000000036e-10 3.981071705534977355e+03 1.395323403852179808e+03 4.731325153611858398e+12
1.000000000000000036e-10 5.011872336272725079e+03 1.481047027099024490e+03 5.022467495435540039e+12
1.000000000000000036e-10 6.309573444801942969e+03 1.569801042678430804e+03 5.323749039992927734e+12
1.000000000000000036e-10 7.943282347242821743e+03 1.662394142584572819e+03 5.637882720602418945e+12
1.000000000000000036e-10 1.000000000000000000e+04 1.754984173188732029e+03 5.951993529244082031e+12
1.000000000000000036e-10 1.258925411794168758e+04 1.855131430786791043e+03 6.291522773931925781e+12
1.000000000000000036e-10 1.584893192461114086e+04 1.955795970341005614e+03 6.632797676846900391e+12
1.000000000000000036e-10 1.995262314968882856e+04 2.056458570088181659e+03 6.974058119864927734e+12
1.000000000000000036e-10 2.511886431509582326e+04 2.163127596984681986e+03 7.335799098555396484e+12
1.000000000000000036e-10 3.162277660168379225e+04 2.273319699402627975e+03 7.709568238483364258e+12
1.000000000000000036e-10 3.981071705534977082e+04 2.383510618160421018e+03 8.083328557355487305e+12
1.000000000000000036e-10 5.011872336272725079e+04 2.497144441590361112e+03 8.468761875660792969e+12
1.000000000000000036e-10 6.309573444801942969e+04 2.616580874174404471e+03 8.873872202072490234e+12
1.000000000000000036e-10 7.943282347242820833e+04 2.736016594770378106e+03 9.278977222282560547e+12
1.000000000000000036e-10 1.000000000000000000e+05 2.855451706912036570e+03 9.684077707844207031e+12
1.000000000000000036e-10 1.258925411794168758e+05 2.983928842945145334e+03 1.011964504555482227e+13
1.000000000000000036e-10 1.584893192461114086e+05 3.114241821912510659e+03 1.056143302134988477e+13
1.000000000000000036e-10 1.995262314968883002e+05 3.243636311701136492e+03 1.100010644647747461e+13
1.000000000000000036e-10 2.511886431509582035e+05 3.378315530255903923e+03 1.145731279879033984e+13
1.000000000000000036e-10 3.162277660168379080e+05 3.516888484804123436e+03 1.192817392835831055e+13
1.000000000000000036e-10 3.981071705534977373e+05 3.655461231140881864e+03 1.239903350693594141e+13
1.000000000000000036e-10 5.011872336272724788e+05 3.797727959862814714e+03 1.288179770319163672e+13
1.000000000000000036e-10 6.309573444801942678e+05 3.946219674098219002e+03 1.338462383373198242e+13
1.000000000000000036e-10 7.943282347242821706e+05 4.094711268463698161e+03 1.388744907039934766e+13
1.000000000000000036e-10 1.000000000000000000e+06 4.243202762280223396e+03 1.439027355732807422e+13
1.000000000000000036e-10 1.258925411794168642e+06 4.243203229831624412e+03 1.439027704197729492e+13
1.000000000000000036e-10 1.584893192461114144e+06 4.243203601220981000e+03 1.439027980993341406e+13
1.000000000000000036e-10 1.995262314968882827e+06 4.243203896226081270e+03 1.439028200859966211e+13
1.000000000000000036e-10 2.511886431509582326e+06 4.243204130556992823e+03 1.439028375506268164e+13
1.000000000000000036e-10 3.162277660168379545e+06 4.243204316692671455e+03 1.439028514232778320e+13
1.000000000000000036e-10 3.981071705534977373e+06 4.243204464545508927e+03 1.439028624427176562e+13
1.000000000000000036e-10 5.011872336272724904e+06 4.243204581989200051e+03 1.439028711957706836e+13
1.000000000000000036e-10 6.309573444801942445e+06 4.243204675278044306e+03 1.439028781485682812e+13
1.000000000000000036e-10 7.943282347242821939e+06 4.243204749380010981e+03 1.439028836713721680e+13
1.000000000000000036e-10 1.000000000000000000e+07 4.243204808241296632e+03 1.439028880582914844e+13
1.000000000000000036e-10 1.258925411794166267e+07 4.243204854996479298e+03 1.439028915429454688e+13
1.000000000000000036e-10 1.584893192461117357e+07 4.243204892135441696e+03 1.439028943109045898e+13
1.000000000000000036e-10 1.995262314968882874e+07 4.243204921635968276e+03 1.439028965095726562e+13
1.000000000000000036e-10 2.511886431509582326e+07 4.243204945069071073e+03 1.439028982560368750e+13
1.000000000000000036e-10 3.162277660168379173e+07 4.243204963682645030e+03 1.439028996433027539e+13
1.000000000000000036e-10 3.981071705534969270e+07 4.243204978467932960e+03 1.439029007452471875e+13
1.000000000000000036e-10 5.011872336272735149e+07 4.243204990212305347e+03 1.439029016205527930e+13
1.000000000000000036e-10 6.309573444801943004e+07 4.243204999541191683e+03 1.439029023158327148e+13
1.000000000000000036e-10 7.943282347242821753e+07 4.243205006951387986e+03 1.439029028681132227e+13
1.000000000000000036e-10 1.000000000000000000e+08 4.243205012837517643e+03 1.439029033068052148e+13
1.000000000000000036e-10 1.258925411794166118e+08 4.243205017513037092e+03 1.439029036552706836e+13
1.000000000000000036e-10 1.584893192461117506e+08 4.243205021226933241e+03 1.439029039320666406e+13
1.000000000000000036e-10 1.995262314968882799e+08 4.243205024176986626e+03 1.439029041519334570e+13
1.000000000000000036e-10 2.511886431509582102e+08 4.243205026520296087e+03 1.439029043265798633e+13
1.000000000000000036e-10 3.162277660168379545e+08 4.243205028381654301e+03 1.439029044653064648e+13
1.000000000000000036e-10 3.981071705534985662e+08 4.243205029860182549e+03 1.439029045755008789e+13
1.000000000000000036e-10 5.011872336272735000e+08 4.243205031034620333e+03 1.439029046630315039e+13
1.000000000000000036e-10 6.309573444801943302e+08 4.243205031967508148e+03 1.439029047325594727e+13
1.000000000000000036e-10 7.943282347242821455e+08 4.243205032708528961e+03 1.439029047877875586e+13
1.000000000000000036e-10 1.000000000000000000e+09 4.243205033297141199e+03 1.439029048316567773e+13
1.000000000000000036e-10 1.258925411794171333e+09 4.243205033764693326e+03 1.439029048665033008e+13
1.000000000000000036e-10 1.584893192461117268e+09 4.243205034136082759e+03 1.439029048941828516e+13
1.000000000000000036e-10 1.995262314968882799e+09 4.243205034431088279e+03 1.439029049161695312e+13
1.000000000000000036e-10 2.511886431509582043e+09 4.243205034665419589e+03 1.439029049336342578e+13
1.000000000000000036e-10 3.162277660168379307e+09 4.243205034851554956e+03 1.439029049475068750e+13
1.000000000000000036e-10 3.981071705534985542e+09 4.243205034999407872e+03 1.439029049585263672e+13
1.000000000000000036e-10 5.011872336272735596e+09 4.243205035116850922e+03 1.439029049672792969e+13
1.000000000000000036e-10 6.309573444801942825e+09 4.243205035210139613e+03 1.439029049742321094e+13
1.000000000000000036e-10 7.943282347242821693e+09 4.243205035284241603e+03 1.439029049797549609e+13
1.000000000000000036e-10 1.000000000000000000e+10 4.243205035343104100e+03 1.439029049841419336e+13
1.258925411794166163e-10 1.000000000000000056e-01 5.425579432504850086e-01 4.543540622531957924e+07
1.258925411794166163e-10 1.258925411794167282e-01 6.611867341458672609e-01 9.733571354105338454e+07
1.258925411794166163e-10 1.584893192461113431e-01 7.990012520657490125e-01 1.850999068100307584e+08
1.258925411794166163e-10 1.995262314968879735e-01 9.563973814728049527e-01 3.249031768678179383e+08
1.258925411794166163e-10 2.511886431509580131e-01 1.132703646404841669e+00 5.352497735775746107e+08
1.258925411794166163e-10 3.162277660168379412e-01 1.326044028659751461e+00 8.347618260959675312e+08
1.258925411794166163e-10 3.981071705534973137e-01 1.533446300234472037e+00 1.239494303849280834e+09
1.258925411794166163e-10 5.011872336272723549e-01 1.750549586418382431e+00 1.757434103854009628e+09
1.258925411794166163e-10 6.309573444801933606e-01 1.953946572165555562e+00 2.288674020486797333e+09
1.258925411794166163e-10 7.943282347242814900e-01 2.151196277218500708e+00 2.873645246233808041e+09
1.258925411794166163e-10 1.000000000000000000e+00 3.862437165249403392e+00 5.913675126229445457e+09
1.258925411794166163e-10 1.258925411794167504e+00 6.531712429890379923e+00 1.113670288382392693e+10
1.258925411794166163e-10 1.584893192461114042e+00 1.037180278556473034e+01 1.929389601366536713e+10
1.258925411794166163e-10 1.995262314968879735e+00 1.539592552775701328e+01 3.073998845358555984e+10
1.258925411794166163e-10 2.511886431509581019e+00 2.166464874893052084e+01 4.582487220272898865e+10
1.258925411794166163e-10 3.162277660168379523e+00 2.975603683731356597e+01 6.597282304775667572e+10
1.258925411794166163e-10 3.981071705534973137e+00 3.887870816347418668e+01 8.955142014013926697e+10
1.258925411794166163e-10 5.011872336272724660e+00 5.102536549915031117e+01 1.212271164284040985e+11
1.258925411794166163e-10 6.309573444801933384e+00 6.351910796767427314e+01 1.547192119648910217e+11
1.258925411794166163e-10 7.943282347242817565e+00 7.942013905368486348e+01 1.974167576025575562e+11
1.258925411794166163e-10 1.000000000000000000e+01 9.574835881243294011e+01 2.419044342636081543e+11
1.258925411794166163e-10 1.258925411794167459e+01 1.159789558178515136e+02 2.968095565595543823e+11
1.258925411794166163e-10 1.584893192461114175e+01 1.363426692602344588e+02 3.525300777996314087e+11
1.258925411794166163e-10 1.995262314968880801e+01 1.606812139029384241e+02 4.189482126085317383e+11
1.258925411794166163e-10 2.511886431509581996e+01 1.853532605027068598e+02 4.865074048832436523e+11
1.258925411794166163e-10 3.162277660168379256e+01 2.144617459891671558e+02 5.658611977814973145e+11
1.258925411794166163e-10 3.981071705534973404e+01 2.436056461985966166e+02 6.454404195420373535e+11
1.258925411794166163e-10 5.011872336272725192e+01 2.774686217036639846e+02 7.377403296224420166e+11
1.258925411794166163e-10 6.309573444801936404e+01 3.114027285686340747e+02 8.302753907540959473e+11
1.258925411794166163e-10 7.943282347242821118e+01 3.500907932063574890e+02 9.352474490426563721e+11
1.258925411794166163e-10 1.000000000000000000e+02 3.890447687864847808e+02 1.040903805865762451e+12
1.258925411794166163e-10 1.258925411794167530e+02 4.336833159669203610e+02 1.162009172174626465e+12
1.258925411794166163e-10 1.584893192461114211e+02 4.783119244553023464e+02 1.283058869927619873e+12
1.258925411794166163e-10 1.995262314968880730e+02 5.259216165357493082e+02 1.411890557883486816e+12
1.258925411794166163e-10 2.511886431509582280e+02 5.772211868004337703e+02 1.550372592008862793e+12
1.258925411794166163e-10 3.162277660168379612e+02 6.285060644840515351e+02 1.688768414536896240e+12
1.258925411794166163e-10 3.981071705534973262e+02 6.861316374202563111e+02 1.844663191347675293e+12
1.258925411794166163e-10 5.011872336272724624e+02 7.440893510643559239e+02 2.001436988911025146e+12
1.258925411794166163e-10 6.309573444801936830e+02 8.050627898109504486e+02 2.166188045997381592e+12
1.258925411794166163e-10 7.943282347242821970e+02 8.698604801392284571e+02 2.341072699877973633e+12
1.258925411794166163e-10 1.000000000000000000e+03 9.346472409724085537e+02 2.515892848378690918e+12
1.258925411794166163e-10 1.258925411794168667e+03 1.006352412796007002e+03 2.709308679359439941e+12
1.258925411794166163e-10 1.584893192461114040e+03 1.078048959751108214e+03 2.902673546508334961e+12
1.258925411794166163e-10 1.995262314968878854e+03 1.152820610093177038e+03 3.104294239633377441e+12
1.258925411794166163e-10 2.511886431509582053e+03 1.231395473237455917e+03 3.316135591554602539e+12
1.258925411794166163e-10 3.162277660168379498e+03 1.309964137675364555e+03 3.527940279238781738e+12
1.258925411794166163e-10 3.981071705534977355e+03 1.395323403852179126e+03 3.758225157179926270e+12
1.258925411794166163e-10 5.011872336272725079e+03 1.481047027099023580e+03 3.989487739614517578e+12
1.258925411794166163e-10 6.309573444801942969e+03 1.569801042678429894e+03 4.228804177058098145e+12
1.258925411794166163e-10 7.943282347242821743e+03 1.662394142584572137e+03 4.478329429044395508e+12
1.258925411794166163e-10 1.000000000000000000e+04 1.754984173188731347e+03 4.727836513180860352e+12
1.258925411794166163e-10 1.258925411794168758e+04 1.855131430786790361e+03 4.997534178751370117e+12
1.258925411794166163e-10 1.584893192461114086e+04 1.955795970341004704e+03 5.268618469939870117e+12
1.258925411794166163e-10 1.995262314968882856e+04 2.056458570088180295e+03 5.539691275223951172e+12
1.258925411794166163e-10 2.511886431509582326e+04 2.163127596984681077e+03 5.827032348254955078e+12
1.258925411794166163e-10 3.162277660168379225e+04 2.273319699402627066e+03 6.123927729368729492e+12
1.258925411794166163e-10 3.981071705534977082e+04 2.383510618160420108e+03 6.420816103668786133e+12
1.258925411794166163e-10 5.011872336272725079e+04 2.497144441590359747e+03 6.726976671002552734e+12
1.258925411794166163e-10 6.309573444801942969e+04 2.616580874174403107e+03 7.048767241450146484e+12
1.258925411794166163e-10 7.943282347242820833e+04 2.736016594770376742e+03 7.370553597031965820e+12
1.258925411794166163e-10 1.000000000000000000e+05 2.855451706912035206e+03 7.692336350614508789e+12
1.258925411794166163e-10 1.258925411794168758e+05 2.983928842945144424e+03 8.038319785082179688e+12
1.258925411794166163e-10 1.584893192461114086e+05 3.114241821912508840e+03 8.389244448018339844e+12
1.258925411794166163e-10 1.995262314968883002e+05 3.243636311701135128e+03 8.737695135420840820e+12
1.258925411794166163e-10 2.511886431509582035e+05 3.378315530255902559e+03 9.100867050158710938e+12
1.258925411794166163e-10 3.162277660168379080e+05 3.516888484804121617e+03 9.474885340009191406e+12
1.258925411794166163e-10 3.981071705534977373e+05 3.655461231140880045e+03 9.848902397864257812e+12
1.258925411794166163e-10 5.011872336272724788e+05 3.797727959862812440e+03 1.023237562966461914e+13
1.258925411794166163e-10 6.309573444801942678e+05 3.946219674098217183e+03 1.063178462231049023e+13
1.258925411794166163e-10 7.943282347242821706e+05 4.094711268463696797e+03 1.103119290492781641e+13
1.258925411794166163e-10 1.000000000000000000e+06 4.243202762280221577e+03 1.143060059200656445e+13
1.258925411794166163e-10 1.258925411794168642e+06 4.243203229831623503e+03 1.143060335996182227e+13
1.258925411794166163e-10 1.584893192461114144e+06 4.243203601220979181e+03 1.143060555862752539e+13
1.258925411794166163e-10 1.995262314968882827e+06 4.243203896226080360e+03 1.143060730509020508e+13
1.258925411794166163e-10 2.511886431509582326e+06 4.243204130556991004e+03 1.143060869235508984e+13
1.258925411794166163e-10 3.162277660168379545e+06 4.243204316692669636e+03 1.143060979429892773e+13
1.258925411794166163e-10 3.981071705534977373e+06 4.243204464545507108e+03 1.143061066960414453e+13
1.258925411794166163e-10 5.011872336272724904e+06 4.243204581989198232e+03 1.143061136488386133e+13
1.258925411794166163e-10 6.309573444801942445e+06 4.243204675278042487e+03 1.143061191716420703e+13
1.258925411794166163e-10 7.943282347242821939e+06 4.243204749380009162e+03 1.143061235585611328e+13
1.258925411794166163e-10 1.000000000000000000e+07 4.243204808241294813e+03 1.143061270432149805e+13
1.258925411794166163e-10 1.258925411794166267e+07 4.243204854996477479e+03 1.143061298111740039e+13
1.258925411794166163e-10 1.584893192461117357e+07 4.243204892135439877e+03 1.143061320098420898e+13
1.258925411794166163e-10 1.995262314968882874e+07 4.243204921635966457e+03 1.143061337563062695e+13
1.258925411794166163e-10 2.511886431509582326e+07 4.243204945069068344e+03 1.143061351435720898e+13
1.258925411794166163e-10 3.162277660168379173e+07 4.243204963682643211e+03 1.143061362455165430e+13
1.258925411794166163e-10 3.981071705534969270e+07 4.243204978467932051e+03 1.143061371208221289e+13
1.258925411794166163e-10 5.011872336272735149e+07 4.243204990212303528e+03 1.143061378161020898e+13
1.258925411794166163e-10 6.309573444801943004e+07 4.243204999541189864e+03 1.143061383683825586e+13
1.258925411794166163e-10 7.943282347242821753e+07 4.243205006951386167e+03 1.143061388070745117e+13
1.258925411794166163e-10 1.000000000000000000e+08 4.243205012837515824e+03 1.143061391555400000e+13
1.258925411794166163e-10 1.258925411794166118e+08 4.243205017513034363e+03 1.143061394323358984e+13
1.258925411794166163e-10 1.584893192461117506e+08 4.243205021226931422e+03 1.143061396522027734e+13
1.258925411794166163e-10 1.995262314968882799e+08 4.243205024176983898e+03 1.143061398268491797e+13
1.258925411794166163e-10 2.511886431509582102e+08 4.243205026520295178e+03 1.143061399655757812e+13
1.258925411794166163e-10 3.162277660168379545e+08 4.243205028381652482e+03 1.143061400757702734e+13
1.258925411794166163e-10 3.981071705534985662e+08 4.243205029860180730e+03 1.143061401633008008e+13
1.258925411794166163e-10 5.011872336272735000e+08 4.243205031034618514e+03 1.143061402328288281e+13
1.258925411794166163e-10 6.309573444801943302e+08 4.243205031967506329e+03 1.143061402880568750e+13
1.258925411794166163e-10 7.943282347242821455e+08 4.243205032708526232e+03 1.143061403319260742e+13
1.258925411794166163e-10 1.000000000000000000e+09 4.243205033297139380e+03 1.143061403667726172e+13
1.258925411794166163e-10 1.258925411794171333e+09 4.243205033764691507e+03 1.143061403944522266e+13
1.258925411794166163e-10 1.584893192461117268e+09 4.243205034136080940e+03 1.143061404164388672e+13
1.258925411794166163e-10 1.995262314968882799e+09 4.243205034431086460e+03 1.143061404339035156e+13
1.258925411794166163e-10 2.511886431509582043e+09 4.243205034665417770e+03 1.143061404477762305e+13
1.258925411794166163e-10 3.162277660168379307e+09 4.243205034851553137e+03 1.143061404587956836e+13
1.258925411794166163e-10 3.981071705534985542e+09 4.243205034999406053e+03 1.143061404675487109e+13
1.258925411794166163e-10 5.011872336272735596e+09 4.243205035116849103e+03 1.143061404745014258e+13
1.258925411794166163e-10 6.309573444801942825e+09 4.243205035210137794e+03 1.143061404800242578e+13
1.258925411794166163e-10 7.943282347242821693e+09 4.243205035284240694e+03 1.143061404844112109e+13
1.258925411794166163e-10 1.000000000000000000e+10 4.243205035343101372e+03 1.143061404878958789e+13
1.584893192461110877e-10 1.000000000000000056e-01 5.388686317916122626e-01 3.034297624470875040e+07
1.584893192461110877e-10 1.258925411794167282e-01 6.564907694227497537e-01 6.865973611231583357e+07
1.584893192461110877e-10 1.584893192461113431e-01 7.930830375971498203e-01 1.342612562409544289e+08
1.584893192461110877e-10 1.995262314968879735e-01 9.490141428623657394e-01 2.396566481422490478e+08
1.584893192461110877e-10 2.511886431509580131e-01 1.123601922927903729e+00 3.992280960348270535e+08
1.584893192461110877e-10 3.162277660168379412e-01 1.315026740309105602e+00 6.276895082666873932e+08
1.584893192461110877e-10 3.981071705534973137e-01 1.520160266288780093e+00 9.371002846112893820e+08
1.584893192461110877e-10 5.011872336272723549e-01 1.734932374240047537e+00 1.334720855084388494e+09
1.584893192461110877e-10 6.309573444801933606e-01 1.953946572165477846e+00 1.817958394610777378e+09
1.584893192461110877e-10 7.943282347242814900e-01 2.151196277218423436e+00 2.282617555723392963e+09
1.584893192461110877e-10 1.000000000000000000e+00 3.862437165249281712e+00 4.697399123847628593e+09
1.584893192461110877e-10 1.258925411794167504e+00 6.531712429890204064e+00 8.846197542504045486e+09
1.584893192461110877e-10 1.584893192461114042e+00 1.037180278556449764e+01 1.532568636169607544e+10
1.584893192461110877e-10 1.995262314968879735e+00 1.539592552775672374e+01 2.441764076405159760e+10
1.584893192461110877e-10 2.511886431509581019e+00 2.166464874893018333e+01 3.639998984359117889e+10
1.584893192461110877e-10 3.162277660168379523e+00 2.975603683731318228e+01 5.240407607169831085e+10
1.584893192461110877e-10 3.981071705534973137e+00 3.887870816347377456e+01 7.113322147742001343e+10
1.584893192461110877e-10 5.011872336272724660e+00 5.102536549914985642e+01 9.629412139380549622e+10
1.584893192461110877e-10 6.309573444801933384e+00 6.351910796767381129e+01 1.228978385185679016e+11
1.584893192461110877e-10 7.943282347242817565e+00 7.942013905368439453e+01 1.568137045720546265e+11
1.584893192461110877e-10 1.000000000000000000e+01 9.574835881243247115e+01 1.921515222412584534e+11
1.584893192461110877e-10 1.258925411794167459e+01 1.159789558178510731e+02 2.357642111119794006e+11
1.584893192461110877e-10 1.584893192461114175e+01 1.363426692602340040e+02 2.800245943865781250e+11
1.584893192461110877e-10 1.995262314968880801e+01 1.606812139029379978e+02 3.327823941630778198e+11
1.584893192461110877e-10 2.511886431509581996e+01 1.853532605027064335e+02 3.864465681021102905e+11
1.584893192461110877e-10 3.162277660168379256e+01 2.144617459891667295e+02 4.494795263337360840e+11
1.584893192461110877e-10 3.981071705534973404e+01 2.436056461985962187e+02 5.126915490755949707e+11
1.584893192461110877e-10 5.011872336272725192e+01 2.774686217036636435e+02 5.860079737150684814e+11
1.584893192461110877e-10 6.309573444801936404e+01 3.114027285686336199e+02 6.595111854739736328e+11
1.584893192461110877e-10 7.943282347242821118e+01 3.500907932063570911e+02 7.428934552298144531e+11
1.584893192461110877e-10 1.000000000000000000e+02 3.890447687864843829e+02 8.268192826326264648e+11
1.584893192461110877e-10 1.258925411794167530e+02 4.336833159669200199e+02 9.230166944685209961e+11
1.584893192461110877e-10 1.584893192461114211e+02 4.783119244553018916e+02 1.019169887198702271e+12
1.584893192461110877e-10 1.995262314968880730e+02 5.259216165357488535e+02 1.121504534469385254e+12
1.584893192461110877e-10 2.511886431509582280e+02 5.772211868004333155e+02 1.231504724177387451e+12
1.584893192461110877e-10 3.162277660168379612e+02 6.285060644840509667e+02 1.341436433579460449e+12
1.584893192461110877e-10 3.981071705534973262e+02 6.861316374202558563e+02 1.465268056446492188e+12
1.584893192461110877e-10 5.011872336272724624e+02 7.440893510643555828e+02 1.589797910316200195e+12
1.584893192461110877e-10 6.309573444801936830e+02 8.050627898109498801e+02 1.720664326660767090e+12
1.584893192461110877e-10 7.943282347242821970e+02 8.698604801392278887e+02 1.859580145058321533e+12
1.584893192461110877e-10 1.000000000000000000e+03 9.346472409724078716e+02 1.998444725011351807e+12
1.584893192461110877e-10 1.258925411794168667e+03 1.006352412796006320e+03 2.152080380602261230e+12
1.584893192461110877e-10 1.584893192461114040e+03 1.078048959751107304e+03 2.305675554182582031e+12
1.584893192461110877e-10 1.995262314968878854e+03 1.152820610093176583e+03 2.465828563436736816e+12
1.584893192461110877e-10 2.511886431509582053e+03 1.231395473237455008e+03 2.634100130550196289e+12
1.584893192461110877e-10 3.162277660168379498e+03 1.309964137675363645e+03 2.802342574224966309e+12
1.584893192461110877e-10 3.981071705534977355e+03 1.395323403852178444e+03 2.985264354803944824e+12
1.584893192461110877e-10 5.011872336272725079e+03 1.481047027099022671e+03 3.168962753667287109e+12
1.584893192461110877e-10 6.309573444801942969e+03 1.569801042678428985e+03 3.359058556962653320e+12
1.584893192461110877e-10 7.943282347242821743e+03 1.662394142584571000e+03 3.557263509892378906e+12
1.584893192461110877e-10 1.000000000000000000e+04 1.754984173188729756e+03 3.755454031586017090e+12
1.584893192461110877e-10 1.258925411794168758e+04 1.855131430786789224e+03 3.969682502188244629e+12
1.584893192461110877e-10 1.584893192461114086e+04 1.955795970341003340e+03 4.185012408669835449e+12
1.584893192461110877e-10 1.995262314968882856e+04 2.056458570088179385e+03 4.400333191573244141e+12
1.584893192461110877e-10 2.511886431509582326e+04 2.163127596984679258e+03 4.628576318878108398e+12
1.584893192461110877e-10 3.162277660168379225e+04 2.273319699402625702e+03 4.864408702856386719e+12
1.584893192461110877e-10 3.981071705534977082e+04 2.383510618160418744e+03 5.100235521124693359e+12
1.584893192461110877e-10 5.011872336272725079e+04 2.497144441590358383e+03 5.343427504117501953e+12
1.584893192461110877e-10 6.309573444801942969e+04 2.616580874174401288e+03 5.599034839892469727e+12
1.584893192461110877e-10 7.943282347242820833e+04 2.736016594770374923e+03 5.854638827680547852e+12
1.584893192461110877e-10 1.000000000000000000e+05 2.855451706912033387e+03 6.110239954298900391e+12
1.584893192461110877e-10 1.258925411794168758e+05 2.983928842945142605e+03 6.385064365043892578e+12
1.584893192461110877e-10 1.584893192461114086e+05 3.114241821912507476e+03 6.663813733075634766e+12
1.584893192461110877e-10 1.995262314968883002e+05 3.243636311701133309e+03 6.940597952488970703e+12
1.584893192461110877e-10 2.511886431509582035e+05 3.378315530255900285e+03 7.229075658424608398e+12
1.584893192461110877e-10 3.162277660168379080e+05 3.516888484804119798e+03 7.526168946356609375e+12
1.584893192461110877e-10 3.981071705534977373e+05 3.655461231140878226e+03 7.823261255679875977e+12
1.584893192461110877e-10 5.011872336272724788e+05 3.797727959862810167e+03 8.127864870960360352e+12
