,x,Q2,y
111,1.4007074397452606e-05,11377.777777777777,0.0
112,1.4007074397452606e-05,12384.848484848484,0.0
113,1.4007074397452606e-05,13391.91919191919,0.0
114,1.4007074397452606e-05,14398.9898989899,0.0
115,1.4007074397452606e-05,15406.060606060606,0.0
116,1.4007074397452606e-05,16413.131313131315,0.0
117,1.4007074397452606e-05,17420.20202020202,0.0
118,1.4007074397452606e-05,18427.272727272728,0.0
119,1.4007074397452606e-05,19434.343434343435,0.0
120,1.4007074397452606e-05,20441.41414141414,0.0
121,1.4007074397452606e-05,21448.484848484848,0.0
122,1.4007074397452606e-05,22455.555555555555,0.0
123,1.4007074397452606e-05,23462.62626262626,0.0
124,1.4007074397452606e-05,24469.696969696968,0.0
125,1.4007074397452606e-05,25476.767676767675,0.0
