name,stat,syst
209,0.606,0.716
210,0.597,0.998
211,0.595,1.103
212,0.557,1.229
213,0.631,0.514
214,0.641,0.602
215,0.64,0.684
216,0.605,0.439
217,0.597,0.756
218,0.583,1.035
219,0.549,1.011
220,0.613,0.603
221,0.609,0.388
222,0.601,0.4
223,0.622,0.524
224,0.588,0.622
225,0.563,0.676
226,0.531,0.854
227,0.595,0.545
228,0.6,0.55
229,0.577,0.405
230,0.566,0.34
231,0.546,0.479
232,0.523,0.476
233,0.52,0.657
234,0.358,0.631
235,0.378,0.594
236,0.347,0.436
237,0.359,0.344
238,0.344,0.337
239,0.341,0.413
240,0.325,0.521
241,0.289,0.792
242,0.287,0.631
243,0.291,0.627
244,0.288,0.474
245,0.262,0.339
246,0.27,0.373
247,0.208,0.635
248,0.211,0.52
249,0.192,0.409
250,0.203,0.336
251,0.187,0.277
252,0.188,0.27
253,0.126,0.412
254,0.124,0.302
255,0.126,0.268
256,0.114,0.189
257,0.124,0.217
258,0.112,0.167
259,0.688,0.682
260,0.743,0.739
261,0.69,0.839
262,0.678,0.825
263,0.652,0.89
264,0.663,1.02
265,0.584,0.938
266,0.667,1.041
267,0.658,0.918
268,0.632,0.864
269,0.614,1.042
270,0.595,0.885
271,0.545,0.951
272,0.535,1.09
273,0.614,0.893
274,0.612,0.857
275,0.605,0.965
276,0.569,0.994
277,0.554,1.039
278,0.545,1.139
279,0.511,1.255
280,0.555,0.647
281,0.551,0.667
282,0.536,0.627
283,0.507,0.762
284,0.52,0.886
285,0.502,1.04
286,0.467,1.058
287,0.525,0.486
288,0.53,0.503
289,0.541,0.526
290,0.509,0.638
291,0.506,0.709
292,0.485,0.78
293,0.469,0.943
294,0.506,0.378
295,0.52,0.378
296,0.508,0.375
297,0.481,0.468
298,0.482,0.495
299,0.476,0.629
300,0.462,0.852
301,0.496,0.617
302,0.51,0.673
303,0.46,0.392
304,0.47,0.366
305,0.451,0.348
306,0.449,0.458
307,0.424,0.652
308,0.314,0.69
309,0.298,0.567
310,0.294,0.518
311,0.282,0.361
312,0.281,0.314
313,0.274,0.318
314,0.274,0.45
315,0.251,0.685
316,0.256,0.622
317,0.227,0.506
318,0.23,0.486
319,0.214,0.343
320,0.216,0.32
321,0.214,0.317
322,0.177,0.558
323,0.17,0.567
324,0.172,0.47
325,0.16,0.335
326,0.16,0.319
327,0.149,0.223
328,0.099,0.315
329,0.099,0.234
330,0.096,0.214
331,0.092,0.204
332,0.089,0.157
333,0.101,0.167
334,0.766,0.616
335,0.866,0.849
336,0.816,0.708
337,0.843,0.815
338,0.768,0.769
339,0.768,0.76
340,0.774,1.111
341,0.709,0.958
342,0.721,0.966
343,0.813,0.843
344,0.787,0.846
345,0.747,0.993
346,0.727,1.072
347,0.692,1.023
348,0.707,1.246
349,0.643,0.992
350,0.719,0.852
351,0.745,0.837
352,0.702,0.777
353,0.698,0.939
354,0.673,0.971
355,0.663,1.126
356,0.628,0.981
357,0.59,1.261
358,0.647,0.644
359,0.669,0.596
360,0.621,0.736
361,0.626,0.569
362,0.58,0.706
363,0.604,0.944
364,0.576,1.176
365,0.559,1.078
366,0.637,0.513
367,0.656,0.491
368,0.626,0.49
369,0.618,0.452
370,0.579,0.521
371,0.578,0.684
372,0.57,0.998
373,0.55,1.014
374,0.608,0.826
375,0.632,0.571
376,0.611,0.444
377,0.569,0.411
378,0.542,0.401
379,0.536,0.479
380,0.542,0.643
381,0.552,0.594
382,0.571,0.565
383,0.577,0.734
384,0.591,0.721
385,0.546,0.388
386,0.548,0.408
387,0.517,0.354
388,0.526,0.471
389,0.521,0.727
390,0.365,0.872
391,0.364,0.615
392,0.362,0.696
393,0.335,0.6
394,0.326,0.366
395,0.316,0.269
396,0.304,0.279
397,0.32,0.465
398,0.289,0.954
399,0.292,0.745
400,0.284,0.691
401,0.268,0.526
402,0.252,0.417
403,0.247,0.332
404,0.245,0.322
405,0.235,0.28
406,0.203,0.692
407,0.219,0.616
408,0.186,0.454
409,0.192,0.371
410,0.17,0.326
411,0.175,0.243
412,0.171,0.225
413,0.169,0.238
414,0.112,0.376
415,0.114,0.348
416,0.117,0.309
417,0.103,0.222
418,0.095,0.164
419,0.092,0.153
420,0.096,0.11
421,1.019,0.722
422,1.083,0.687
423,1.082,0.69
424,1.03,0.862
425,0.953,1.012
426,0.913,0.966
427,0.907,1.044
428,0.949,0.954
429,1.025,0.914
430,0.97,1.05
431,0.946,0.792
432,0.797,0.958
433,0.913,1.543
434,0.811,1.243
435,0.871,0.875
436,0.873,0.779
437,0.843,0.754
438,0.84,1.004
439,0.808,0.977
440,0.775,1.179
441,0.779,1.297
442,0.768,0.612
443,0.772,0.905
444,0.745,0.606
445,0.737,0.571
446,0.717,0.917
447,0.682,0.969
448,0.707,1.204
449,0.762,0.735
450,0.755,0.828
451,0.725,0.961
452,0.729,0.461
453,0.706,0.77
454,0.693,0.661
455,0.666,0.923
456,0.736,0.678
457,0.695,0.87
458,0.704,0.364
459,0.664,0.466
460,0.672,0.47
461,0.659,0.665
462,0.649,0.784
463,0.676,0.784
464,0.712,0.716
465,0.675,0.635
466,0.66,0.457
467,0.615,0.385
468,0.636,0.487
469,0.622,0.62
470,0.423,1.034
471,0.407,0.748
472,0.404,0.624
473,0.422,0.555
474,0.409,0.463
475,0.391,0.353
476,0.393,0.52
477,0.361,0.986
478,0.328,0.823
479,0.32,0.702
480,0.308,0.487
481,0.294,0.37
482,0.307,0.27
483,0.287,0.193
484,0.228,0.668
485,0.221,0.485
486,0.213,0.431
487,0.212,0.379
488,0.202,0.347
489,0.202,0.177
490,0.214,0.259
491,0.129,0.35
492,0.119,0.284
493,0.122,0.249
494,0.13,0.234
495,0.126,0.185
496,0.121,0.159
497,0.11,0.106
498,1.419,0.595
499,1.369,0.797
500,1.442,0.903
501,1.239,1.144
502,1.241,1.095
503,1.094,1.29
504,1.126,0.881
505,1.355,1.117
506,1.233,1.042
507,1.146,1.276
508,1.119,1.359
509,1.061,1.446
510,1.193,1.093
511,1.117,0.685
512,1.025,0.915
513,0.995,1.091
514,1.022,1.53
515,0.944,1.498
516,1.0,0.868
517,0.967,0.652
518,0.924,0.807
519,0.903,0.698
520,0.859,1.003
521,0.883,1.245
522,0.992,0.882
523,1.005,0.61
524,0.932,0.62
525,0.868,0.746
526,0.852,0.901
527,0.823,1.04
528,0.908,0.667
529,0.869,0.612
530,0.863,0.621
531,0.868,0.653
532,0.853,0.695
533,0.856,1.011
534,0.865,1.048
535,0.817,0.684
536,0.799,0.537
537,0.762,0.343
538,0.775,0.549
539,0.713,0.446
540,0.544,0.918
541,0.521,0.799
542,0.48,0.655
543,0.48,0.407
544,0.462,0.24
545,0.452,0.332
546,0.412,0.897
547,0.384,0.705
548,0.368,0.58
549,0.347,0.39
550,0.336,0.209
551,0.362,0.343
552,0.275,0.622
553,0.262,0.494
554,0.243,0.299
555,0.246,0.254
556,0.264,0.279
557,0.242,0.158
558,0.154,0.352
559,0.147,0.302
560,0.147,0.283
561,0.144,0.174
562,0.136,0.14
563,0.124,0.093
564,1.168,0.65
565,1.353,1.131
566,1.225,1.242
567,1.236,1.674
568,1.146,1.363
569,1.12,1.236
570,1.122,1.337
571,1.075,1.684
572,0.988,0.921
573,0.993,0.992
574,0.981,1.016
575,0.954,1.666
576,0.866,0.768
577,0.884,0.532
578,0.813,0.704
579,0.825,1.447
580,0.862,0.889
581,0.797,0.678
582,0.83,0.607
583,0.77,0.993
584,0.777,0.752
585,0.768,0.517
586,0.724,0.497
587,0.778,0.908
588,0.707,0.909
589,0.693,0.59
590,0.678,0.386
591,0.677,0.422
592,0.414,0.815
593,0.409,0.576
594,0.421,0.414
595,0.406,0.335
596,0.314,0.667
597,0.319,0.573
598,0.298,0.395
599,0.297,0.27
600,0.203,0.529
601,0.198,0.405
602,0.191,0.298
603,0.201,0.211
604,0.117,0.321
605,0.109,0.206
606,0.107,0.142
