name,stat,syst
209,0.73,0.45
210,0.543,0.374
211,0.536,0.323
212,0.454,0.252
213,0.907,0.439
214,0.874,0.433
215,0.738,0.443
216,0.608,0.275
217,0.509,0.298
218,0.501,0.369
219,0.423,0.266
220,0.836,0.365
221,0.734,0.246
222,0.588,0.2
223,0.581,0.225
224,0.479,0.2
225,0.427,0.256
226,0.338,0.194
227,0.802,0.524
228,0.732,0.398
229,0.666,0.237
230,0.501,0.2
231,0.425,0.262
232,0.302,0.144
233,0.273,0.118
234,0.441,0.499
235,0.424,0.229
236,0.349,0.194
237,0.292,0.12
238,0.183,0.052
239,0.147,0.051
240,0.15,0.101
241,0.376,0.528
242,0.322,0.323
243,0.25,0.134
244,0.187,0.095
245,0.159,0.076
246,0.145,0.119
247,0.244,0.313
248,0.18,0.151
249,0.197,0.187
250,0.142,0.057
251,0.099,0.026
252,0.077,0.023
253,0.13,0.179
254,0.132,0.114
255,0.088,0.073
256,0.066,0.043
257,0.075,0.072
258,0.044,0.019
259,1.051,0.623
260,1.23,0.545
261,1.083,0.765
262,1.08,0.58
263,0.905,0.566
264,0.905,0.473
265,0.779,0.548
266,1.064,0.723
267,1.097,0.795
268,0.959,0.633
269,0.911,0.584
270,0.837,0.785
271,0.713,0.514
272,0.72,0.703
273,1.01,0.594
274,0.957,0.438
275,0.886,0.63
276,0.797,0.6
277,0.69,0.657
278,0.571,0.462
279,0.573,0.532
280,0.855,0.451
281,0.769,0.413
282,0.74,0.443
283,0.611,0.346
284,0.53,0.387
285,0.469,0.283
286,0.448,0.314
287,0.866,0.465
288,0.753,0.394
289,0.652,0.33
290,0.55,0.336
291,0.548,0.264
292,0.404,0.246
293,0.376,0.258
294,0.814,0.555
295,0.689,0.435
296,0.589,0.27
297,0.469,0.226
298,0.403,0.245
299,0.37,0.182
300,0.291,0.157
301,0.693,0.366
302,0.627,0.422
303,0.567,0.299
304,0.407,0.192
305,0.338,0.127
306,0.288,0.14
307,0.262,0.201
308,0.418,0.44
309,0.366,0.258
310,0.302,0.162
311,0.26,0.103
312,0.194,0.072
313,0.144,0.07
314,0.13,0.051
315,0.315,0.371
316,0.283,0.3
317,0.231,0.196
318,0.176,0.045
319,0.136,0.052
320,0.091,0.027
321,0.084,0.03
322,0.239,0.382
323,0.193,0.144
324,0.16,0.14
325,0.131,0.084
326,0.099,0.062
327,0.06,0.013
328,0.119,0.136
329,0.106,0.114
330,0.096,0.089
331,0.079,0.057
332,0.049,0.024
333,0.043,0.018
334,1.538,1.003
335,1.513,0.544
336,1.385,0.388
337,1.385,0.649
338,1.417,0.829
339,1.34,0.754
340,1.089,0.542
341,0.991,0.509
342,1.439,0.822
343,1.538,0.779
344,1.473,0.953
345,1.355,0.715
346,1.19,0.74
347,1.095,0.781
348,1.083,1.154
349,0.824,0.429
350,1.296,0.751
351,1.318,0.664
352,1.247,0.645
353,1.04,0.568
354,0.887,0.516
355,0.797,0.556
356,0.845,0.65
357,0.753,0.647
358,1.181,0.737
359,1.052,0.592
360,0.936,0.34
361,0.951,0.575
362,0.784,0.35
363,0.688,0.345
364,0.597,0.44
365,0.561,0.345
366,1.098,0.642
367,1.042,0.511
368,0.94,0.4
369,0.698,0.325
370,0.669,0.357
371,0.573,0.2
372,0.51,0.187
373,0.446,0.27
374,1.099,0.774
375,0.994,0.612
376,0.957,0.326
377,0.71,0.209
378,0.616,0.213
379,0.515,0.296
380,0.464,0.345
381,0.439,0.198
382,1.056,0.706
383,0.915,0.466
384,0.791,0.329
385,0.635,0.22
386,0.502,0.16
387,0.485,0.142
388,0.383,0.138
389,0.325,0.061
390,0.549,0.554
391,0.575,0.486
392,0.483,0.293
393,0.401,0.237
394,0.323,0.11
395,0.26,0.126
396,0.2,0.049
397,0.158,0.08
398,0.471,0.855
399,0.384,0.367
400,0.349,0.358
401,0.253,0.117
402,0.255,0.082
403,0.186,0.08
404,0.157,0.067
405,0.096,0.026
406,0.299,0.46
407,0.272,0.282
408,0.253,0.13
409,0.156,0.092
410,0.106,0.033
411,0.121,0.065
412,0.068,0.021
413,0.108,0.033
414,0.218,0.396
415,0.148,0.183
416,0.151,0.124
417,0.102,0.075
418,0.098,0.055
419,0.059,0.01
420,0.05,0.018
421,2.062,0.525
422,2.202,1.176
423,1.907,0.609
424,1.811,0.515
425,1.81,1.3
426,1.696,0.849
427,1.627,1.194
428,2.189,1.189
429,2.051,0.943
430,1.804,0.466
431,1.729,0.596
432,1.45,0.951
433,1.425,0.902
434,1.138,0.641
435,1.767,1.109
436,1.778,0.54
437,1.509,0.794
438,1.443,0.658
439,1.2,0.658
440,1.018,0.711
441,1.146,0.723
442,1.563,0.736
443,1.522,0.696
444,1.299,0.48
445,1.119,0.459
446,1.01,0.478
447,0.92,0.414
448,0.761,0.521
449,1.358,0.809
450,1.382,0.743
451,1.214,0.401
452,1.22,0.419
453,0.856,0.346
454,0.718,0.372
455,0.791,0.466
456,1.402,0.81
457,1.299,0.752
458,0.986,0.322
459,1.155,0.917
460,0.709,0.251
461,0.653,0.153
462,0.58,0.27
463,1.339,1.031
464,1.122,0.604
465,0.814,0.209
466,0.798,0.265
467,0.747,0.231
468,0.628,0.322
469,0.39,0.133
470,0.83,0.92
471,0.636,0.399
472,0.568,0.355
473,0.527,0.249
474,0.405,0.152
475,0.335,0.142
476,0.222,0.074
477,0.569,0.71
478,0.432,0.404
479,0.447,0.199
480,0.278,0.095
481,0.268,0.066
482,0.254,0.067
483,0.22,0.079
484,0.393,0.616
485,0.363,0.336
486,0.241,0.189
487,0.294,0.221
488,0.15,0.047
489,0.106,0.024
490,0.059,0.009
491,0.272,0.337
492,0.143,0.127
493,0.181,0.09
494,0.156,0.103
495,0.112,0.034
496,0.081,0.029
497,0.096,0.026
498,3.288,1.139
499,2.702,0.585
500,3.37,0.806
501,2.618,0.759
502,2.31,0.869
503,3.116,2.266
504,2.747,1.008
505,3.231,1.499
506,2.677,0.473
507,2.077,0.892
508,2.279,1.286
509,1.919,0.889
510,2.322,1.055
511,2.08,0.842
512,1.929,0.528
513,1.671,0.638
514,2.008,1.055
515,1.73,0.916
516,2.395,1.217
517,1.998,0.865
518,1.888,0.687
519,1.662,0.604
520,1.636,0.876
521,1.203,0.33
522,2.019,0.538
523,1.778,0.802
524,1.627,0.535
525,1.339,0.505
526,1.388,0.761
527,1.232,0.73
528,1.799,0.975
529,1.79,0.625
530,1.343,0.341
531,1.383,0.37
532,1.35,0.837
533,0.953,0.448
534,1.534,0.716
535,1.791,0.97
536,1.437,0.392
537,1.259,0.279
538,1.015,0.289
539,0.842,0.394
540,0.981,0.77
541,0.909,0.305
542,0.721,0.282
543,0.71,0.227
544,0.543,0.185
545,0.48,0.082
546,0.696,0.581
547,0.686,0.548
548,0.516,0.117
549,0.564,0.245
550,0.282,0.095
551,0.234,0.08
552,0.482,0.591
553,0.404,0.229
554,0.344,0.233
555,0.299,0.091
556,0.218,0.041
557,0.168,0.044
558,0.339,0.317
559,0.197,0.073
560,0.241,0.135
561,0.184,0.085
562,0.12,0.028
563,0.031,0.007
564,3.623,0.874
565,3.617,1.141
566,3.425,1.014
567,3.096,1.381
568,2.61,0.898
569,3.545,1.557
570,2.224,0.552
571,2.453,1.468
572,2.717,1.357
573,2.433,0.909
574,2.191,1.03
575,2.233,1.476
576,2.279,0.989
577,2.032,0.462
578,1.982,0.66
579,1.54,0.736
580,2.145,1.165
581,2.211,0.838
582,1.675,0.339
583,1.225,0.366
584,1.774,0.937
585,1.541,0.351
586,1.434,0.352
587,1.355,0.501
588,1.639,0.889
589,1.282,0.464
590,1.324,0.316
591,1.004,0.41
592,0.979,0.564
593,0.961,0.332
594,0.687,0.174
595,0.589,0.158
596,0.681,0.456
597,0.625,0.362
598,0.456,0.07
599,0.391,0.141
600,0.388,0.389
601,0.37,0.18
602,0.285,0.082
603,0.253,0.056
604,0.238,0.279
605,0.2,0.08
606,0.199,0.126
