index,data
218,17.641
219,16.267
220,16.742
221,16.161
222,15.994
223,17.877
224,16.471
225,15.696
226,14.596
227,14.995
228,14.796
229,14.398
230,14.184
231,14.0
232,13.31
233,13.44
234,11.008
235,11.765
236,10.37
237,11.252
238,10.824
239,10.78
240,10.356
241,7.286
242,6.953
243,7.202
244,7.206
245,6.269
246,6.697
247,4.215
248,4.09
249,3.424
250,3.766
251,3.255
252,3.317
253,2.02
254,1.788
255,1.734
256,1.444
257,1.61
258,1.293
259,13.471
260,15.816
261,14.637
262,14.665
263,14.46
264,14.65
265,11.962
266,18.419
267,18.37
268,17.715
269,17.803
270,17.11
271,15.048
272,14.664
273,19.882
274,20.383
275,20.756
276,19.115
277,18.882
278,18.814
279,16.883
280,19.759
281,19.852
282,19.613
283,18.421
284,19.772
285,19.328
286,17.373
287,17.245
288,17.929
289,19.081
290,18.03
291,18.066
292,17.281
293,16.83
294,15.696
295,16.495
296,16.42
297,15.417
298,15.902
299,16.204
300,15.419
301,14.496
302,15.012
303,13.267
304,14.049
305,13.746
306,13.746
307,12.851
308,11.166
309,10.472
310,10.461
311,10.073
312,10.354
313,10.093
314,10.244
315,7.427
316,7.553
317,6.352
318,6.599
319,5.953
320,6.072
321,5.885
322,4.086
323,3.696
324,3.732
325,3.403
326,3.385
327,3.028
328,1.727
329,1.58
330,1.457
331,1.404
332,1.306
333,1.518
334,12.825
335,15.434
336,14.872
337,16.087
338,14.31
339,14.739
340,15.04
341,13.127
342,16.443
343,19.744
344,19.286
345,18.792
346,18.498
347,17.181
348,18.28
349,15.504
350,20.335
351,21.3
352,20.231
353,20.748
354,20.048
355,20.083
356,18.462
357,17.086
358,20.21
359,20.827
360,19.199
361,19.956
362,18.258
363,19.623
364,18.504
365,17.855
366,18.918
367,19.277
368,18.449
369,18.825
370,17.481
371,17.657
372,17.322
373,16.661
374,16.883
375,17.317
376,17.233
377,15.543
378,14.807
379,14.869
380,15.382
381,15.726
382,14.456
383,14.275
384,15.234
385,13.732
386,14.315
387,13.212
388,13.745
389,13.377
390,11.706
391,11.021
392,11.254
393,10.328
394,10.011
395,9.734
396,9.176
397,9.881
398,7.579
399,7.294
400,6.958
401,6.548
402,6.009
403,5.818
404,5.756
405,5.289
406,4.269
407,4.429
408,3.382
409,3.608
410,3.02
411,3.044
412,2.87
413,2.661
414,1.746
415,1.595
416,1.685
417,1.396
418,1.194
419,1.144
420,1.073
421,14.502
422,16.872
423,17.208
424,16.933
425,15.306
426,14.122
427,14.472
428,18.423
429,21.561
430,21.093
431,20.84
432,16.288
433,19.745
434,16.53
435,19.968
436,20.921
437,20.849
438,21.154
439,20.471
440,19.008
441,19.097
442,19.106
443,20.153
444,19.782
445,19.862
446,19.666
447,18.049
448,18.977
449,18.599
450,18.741
451,18.551
452,18.829
453,18.042
454,17.241
455,16.4
456,17.096
457,15.514
458,16.511
459,15.377
460,15.78
461,15.205
462,14.902
463,14.383
464,15.508
465,14.869
466,14.398
467,13.045
468,13.526
469,13.003
470,11.23
471,10.325
472,10.61
473,11.247
474,11.091
475,10.291
476,10.204
477,8.142
478,6.95
479,6.782
480,6.5
481,5.899
482,6.266
483,5.593
484,4.009
485,3.564
486,3.325
487,3.385
488,3.136
489,2.947
490,3.134
491,1.776
492,1.443
493,1.487
494,1.565
495,1.454
496,1.31
497,1.067
498,17.556
499,17.305
500,20.332
501,15.965
502,16.12
503,13.343
504,17.279
505,24.395
506,22.166
507,20.26
508,18.861
509,17.877
510,23.698
511,21.846
512,20.861
513,19.62
514,20.781
515,18.275
516,21.018
517,20.706
518,20.384
519,19.776
520,18.255
521,18.88
522,20.234
523,21.246
524,19.711
525,17.987
526,17.516
527,16.151
528,16.778
529,16.062
530,16.752
531,17.129
532,16.432
533,16.576
534,15.229
535,13.923
536,14.222
537,13.099
538,13.366
539,12.012
540,12.162
541,11.14
542,10.246
543,10.513
544,9.678
545,8.963
546,7.739
547,6.725
548,6.202
549,5.844
550,5.31
551,5.838
552,4.055
553,3.657
554,3.314
555,3.2
556,3.545
557,2.892
558,1.761
559,1.638
560,1.622
561,1.461
562,1.267
563,1.041
564,15.672
565,21.493
566,19.329
567,19.764
568,21.907
569,22.697
570,23.119
571,22.021
572,22.22
573,23.501
574,23.593
575,22.101
576,20.886
577,22.681
578,20.629
579,20.744
580,20.878
581,19.172
582,20.497
583,17.999
584,17.036
585,17.235
586,15.928
587,17.327
588,14.714
589,14.219
590,13.867
591,13.525
592,10.48
593,10.26
594,10.925
595,9.903
596,6.75
597,6.767
598,6.031
599,5.885
600,3.607
601,3.322
602,3.074
603,3.097
604,1.703
605,1.431
606,1.328
